Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
26.05	863	268.1886327
26.06	833	267.9039757
26.07	816	267.7426701
26.08	819	267.7711358
26.09	826	267.8375557
26.1	825	267.8280672
26.11	832	267.8944871
26.12	851	268.0747699
26.13	852	268.0842585
26.14	877	268.3214726
26.15	831	267.8849986
26.16	832	267.8944871
26.17	865	268.2076098
26.18	840	267.9703957
26.19	827	267.8470443
26.2	844	268.0083499
26.21	844	268.0083499
26.22	846	268.0273271
26.23	826	267.8375557
26.24	815	267.7331815
26.25	880	268.3499383
26.26	871	268.2645412
26.27	830	267.87551
26.28	857	268.1317013
26.29	850	268.0652813
26.3	856	268.1222127
26.31	886	268.4068697
26.32	871	268.2645412
26.33	861	268.1696556
26.34	839	267.9609071
26.35	854	268.1032356
26.36	861	268.1696556
26.37	884	268.3878926
26.38	879	268.3404498
26.39	861	268.1696556
26.4	887	268.4163583
26.41	840	267.9703957
26.42	830	267.87551
26.43	840	267.9703957
26.44	858	268.1411899
26.45	832	267.8944871
26.46	839	267.9609071
26.47	844	268.0083499
26.48	859	268.1506784
26.49	850	268.0652813
26.5	839	267.9609071
26.51	859	268.1506784
26.52	859	268.1506784
26.53	790	267.4959674
26.54	814	267.7236929
26.55	874	268.2930069
26.56	868	268.2360755
26.57	864	268.1981213
26.58	832	267.8944871
26.59	834	267.9134643
26.6	845	268.0178385
26.61	878	268.3309612
26.62	904	268.5776639
26.63	879	268.3404498
26.64	849	268.0557928
26.65	814	267.7236929
26.66	827	267.8470443
26.67	885	268.3973812
26.68	882	268.3689155
26.69	894	268.4827783
26.7	852	268.0842585
26.71	839	267.9609071
26.72	843	267.9988614
26.73	836	267.9324414
26.74	851	268.0747699
26.75	862	268.1791441
26.76	851	268.0747699
26.77	856	268.1222127
26.78	913	268.663061
26.79	875	268.3024955
26.8	817	267.7521586
26.81	848	268.0463042
26.82	842	267.9893728
26.83	874	268.2930069
26.84	874	268.2930069
26.85	842	267.9893728
26.86	847	268.0368156
26.87	840	267.9703957
26.88	837	267.94193
26.89	854	268.1032356
26.9	856	268.1222127
26.91	884	268.3878926
26.92	871	268.2645412
26.93	848	268.0463042
26.94	830	267.87551
26.95	864	268.1981213
26.96	869	268.2455641
26.97	848	268.0463042
26.98	849	268.0557928
26.99	891	268.4543126
27	823	267.80909
27.01	863	268.1886327
27.02	843	267.9988614
27.03	866	268.2170984
27.04	878	268.3309612
27.05	810	267.6857387
27.06	800	267.590853
27.07	851	268.0747699
27.08	876	268.3119841
27.09	886	268.4068697
27.1	858	268.1411899
27.11	859	268.1506784
27.12	877	268.3214726
27.13	838	267.9514185
27.14	808	267.6667616
27.15	851	268.0747699
27.16	871	268.2645412
27.17	879	268.3404498
27.18	895	268.4922668
27.19	873	268.2835184
27.2	837	267.94193
27.21	843	267.9988614
