1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
1.92,62.9145,0.01598333,0.002087152,0.000615788,12.5829,0.01598333,0.002087152,0.004174304,0.004174304,0.001231576
1.93,63.3305,0.01606667,0.002100044,0.000619604,12.6661,0.01606667,0.002100044,0.004200088,0.004200088,0.001239208
1.94,63.7445,0.01615,0.002112832,0.000623652,12.7489,0.01615,0.002112832,0.004225664,0.004225664,0.001247304
1.95,64.15549,0.01623333,0.002125372,0.000627904,12.8311,0.01623333,0.002125372,0.004250744,0.004250744,0.001255808
1.96,64.5625,0.01631667,0.00213768,0.000632336,12.9125,0.01631667,0.00213768,0.00427536,0.00427536,0.001264672
1.97,64.965,0.0164,0.002149884,0.000636852,12.993,0.0164,0.002149884,0.004299768,0.004299768,0.001273704
1.98,65.366,0.01648333,0.002162152,0.000641476,13.0732,0.01648333,0.002162152,0.004324304,0.004324304,0.001282952
1.99,65.76649,0.01656667,0.002174572,0.000646228,13.1533,0.01656667,0.002174572,0.004349144,0.004349144,0.001292456
2,66.1675,0.01665,0.00218718,0.00065116,13.2335,0.01665,0.00218718,0.00437436,0.00437436,0.00130232
2.01,66.5715,0.01673333,0.00219994,0.00065636,13.3143,0.01673333,0.00219994,0.00439988,0.00439988,0.00131272
2.02,66.978,0.01681667,0.002212856,0.00066186,13.3956,0.01681667,0.002212856,0.004425712,0.004425712,0.00132372
2.03,67.387,0.0169,0.002225864,0.00066752,13.4774,0.0169,0.002225864,0.004451728,0.004451728,0.00133504
2.04,67.798,0.01698333,0.002238872,0.000673172,13.5596,0.01698333,0.002238872,0.004477744,0.004477744,0.001346344
2.05,68.21201,0.01706667,0.00225178,0.000678704,13.6424,0.01706667,0.00225178,0.00450356,0.00450356,0.001357408
2.06,68.628,0.01715,0.00226462,0.000684088,13.7256,0.01715,0.00226462,0.00452924,0.00452924,0.001368176
2.07,69.045,0.01723333,0.002277376,0.000689308,13.809,0.01723333,0.002277376,0.004554752,0.004554752,0.001378616
2.08,69.46,0.01731667,0.002290068,0.000694372,13.892,0.01731667,0.002290068,0.004580136,0.004580136,0.001388744
2.09,69.8725,0.0174,0.0023026,0.00069916,13.9745,0.0174,0.0023026,0.0046052,0.0046052,0.00139832
2.1,70.282,0.01748333,0.002314968,0.000703664,14.0564,0.01748333,0.002314968,0.004629936,0.004629936,0.001407328
2.11,70.6865,0.01756667,0.00232722,0.000707756,14.1373,0.01756667,0.00232722,0.00465444,0.00465444,0.001415512
2.12,71.08549,0.01765,0.002339476,0.000711424,14.2171,0.01765,0.002339476,0.004678952,0.004678952,0.001422848
2.13,71.4775,0.01773333,0.002351648,0.000714768,14.2955,0.01773333,0.002351648,0.004703296,0.004703296,0.001429536
2.14,71.8645,0.01781667,0.002363616,0.000717912,14.3729,0.01781667,0.002363616,0.004727232,0.004727232,0.001435824
